case_id,case_name,particle_diameter,particle_radius,N_target,target_fractal_dimension,r_sigma_mult,realization,random_seed,max_try,csv_file,sys_file,vtk_file
57,case_057_dp2_N50_Df1.8_rep03,2.0,1.0,50,1.8,12.0,3,1085,200,case_057_dp2_N50_Df1.8_rep03/particles.csv,case_057_dp2_N50_Df1.8_rep03/particles.sys,case_057_dp2_N50_Df1.8_rep03/particles.vtk
58,case_058_dp2_N50_Df2.2_rep01,2.0,1.0,50,2.2,8.0,1,1086,200,case_058_dp2_N50_Df2.2_rep01/particles.csv,case_058_dp2_N50_Df2.2_rep01/particles.sys,case_058_dp2_N50_Df2.2_rep01/particles.vtk
59,case_059_dp2_N50_Df2.2_rep02,2.0,1.0,50,2.2,8.0,2,1087,200,case_059_dp2_N50_Df2.2_rep02/particles.csv,case_059_dp2_N50_Df2.2_rep02/particles.sys,case_059_dp2_N50_Df2.2_rep02/particles.vtk
60,case_060_dp2_N50_Df2.2_rep03,2.0,1.0,50,2.2,8.0,3,1088,200,case_060_dp2_N50_Df2.2_rep03/particles.csv,case_060_dp2_N50_Df2.2_rep03/particles.sys,case_060_dp2_N50_Df2.2_rep03/particles.vtk
61,case_061_dp2_N50_Df2.6_rep01,2.0,1.0,50,2.6,5.0,1,1089,200,case_061_dp2_N50_Df2.6_rep01/particles.csv,case_061_dp2_N50_Df2.6_rep01/particles.sys,case_061_dp2_N50_Df2.6_rep01/particles.vtk
62,case_062_dp2_N50_Df2.6_rep02,2.0,1.0,50,2.6,5.0,2,1090,200,case_062_dp2_N50_Df2.6_rep02/particles.csv,case_062_dp2_N50_Df2.6_rep02/particles.sys,case_062_dp2_N50_Df2.6_rep02/particles.vtk
63,case_063_dp2_N50_Df2.6_rep03,2.0,1.0,50,2.6,5.0,3,1091,200,case_063_dp2_N50_Df2.6_rep03/particles.csv,case_063_dp2_N50_Df2.6_rep03/particles.sys,case_063_dp2_N50_Df2.6_rep03/particles.vtk
64,case_064_dp2_N100_Df1.8_rep01,2.0,1.0,100,1.8,12.0,1,1092,200,case_064_dp2_N100_Df1.8_rep01/particles.csv,case_064_dp2_N100_Df1.8_rep01/particles.sys,case_064_dp2_N100_Df1.8_rep01/particles.vtk
65,case_065_dp2_N100_Df1.8_rep02,2.0,1.0,100,1.8,12.0,2,1093,200,case_065_dp2_N100_Df1.8_rep02/particles.csv,case_065_dp2_N100_Df1.8_rep02/particles.sys,case_065_dp2_N100_Df1.8_rep02/particles.vtk
66,case_066_dp2_N100_Df1.8_rep03,2.0,1.0,100,1.8,12.0,3,1094,200,case_066_dp2_N100_Df1.8_rep03/particles.csv,case_066_dp2_N100_Df1.8_rep03/particles.sys,case_066_dp2_N100_Df1.8_rep03/particles.vtk
67,case_067_dp2_N100_Df2.2_rep01,2.0,1.0,100,2.2,8.0,1,1095,200,case_067_dp2_N100_Df2.2_rep01/particles.csv,case_067_dp2_N100_Df2.2_rep01/particles.sys,case_067_dp2_N100_Df2.2_rep01/particles.vtk
68,case_068_dp2_N100_Df2.2_rep02,2.0,1.0,100,2.2,8.0,2,1096,200,case_068_dp2_N100_Df2.2_rep02/particles.csv,case_068_dp2_N100_Df2.2_rep02/particles.sys,case_068_dp2_N100_Df2.2_rep02/particles.vtk
69,case_069_dp2_N100_Df2.2_rep03,2.0,1.0,100,2.2,8.0,3,1097,200,case_069_dp2_N100_Df2.2_rep03/particles.csv,case_069_dp2_N100_Df2.2_rep03/particles.sys,case_069_dp2_N100_Df2.2_rep03/particles.vtk
