case,n,group,target,box_dimension,hull_porosity,box_quality,box_grid_sd,rg_over_d,log_rg,contacts,asphericity,lambda2_over_lambda1,lambda3_over_lambda1,leaf_fraction,branch_fraction,degree_std,mean_graph_distance,neighbors_1p5d,neighbors_2d,local_density_cv,core_shell_density_difference
fractal_dp2_N0100_Df2.6_kf0.8_rep03,100,fractal_dp2_N0100_Df2.6_kf0.8_rep03,0.53158203125,2.1063233740646874,0.7901126010076053,scale_span_below_half_decade,0.07484674579046169,3.1788986279192244,1.156534793379723,99,0.11268146820594827,0.5470022358281615,0.2953961724511982,0.36,0.25,0.958957767578948,11.930909090909092,4.32,9.62,0.3591261716195094,5.943181818181818
fractal_dp2_N0100_Df2.6_kf0.8_rep05,100,fractal_dp2_N0100_Df2.6_kf0.8_rep05,0.52193359375,2.117938892815069,0.7922625597778283,scale_span_below_half_decade,0.08194280166923579,3.1788910318209513,1.1565324038391187,99,0.1352319986699132,0.4020640543620208,0.33008931398629415,0.37,0.29,0.9271461589199408,12.824242424242424,4.76,10.14,0.3822106587827875,7.992063492063492
fractal_dp2_N0200_Df1.8_kf1.3_rep01,200,fractal_dp2_N0200_Df1.8_kf1.3_rep01,0.64067138671875,1.8222157995397756,0.9458184706504581,ok,0.0476829640907718,8.194705897014984,2.103488323451127,199,0.25604674528710936,0.5017254725688735,0.07799043877257132,0.305,0.28,0.7936623967405788,30.417286432160804,3.46,7.15,0.3329582057934941,-2.208791208791209
fractal_dp2_N0200_Df1.8_kf1.3_rep02,200,fractal_dp2_N0200_Df1.8_kf1.3_rep02,0.65091064453125,1.8090351455552696,0.9538732492438214,ok,0.03219898477889714,8.19468688740473,2.1034860037056053,199,0.3571820890868398,0.23978735919658917,0.1316611548691089,0.28,0.26,0.7549172140042907,27.89753768844221,3.27,6.47,0.3407011800476911,1.9714394516374716
fractal_dp2_N0200_Df1.8_kf1.3_rep03,200,fractal_dp2_N0200_Df1.8_kf1.3_rep03,0.64453125,1.7846596067992053,0.9507289883025709,ok,0.055452280916948385,8.194703585361355,2.1034880413599835,199,0.2941369645613461,0.3988643478230151,0.08542992294047128,0.29,0.26,0.7809609465267774,28.086733668341708,3.47,6.91,0.34465631100437527,0.3111111111111109
fractal_dp2_N0200_Df1.8_kf1.3_rep04,200,fractal_dp2_N0200_Df1.8_kf1.3_rep04,0.62140380859375,1.860280566286854,0.928504860990895,ok,0.058477883786245306,8.194721224111445,2.1034901938150323,199,0.5816737207992204,0.12745956533324881,0.06190270218741106,0.335,0.285,0.8601744009211156,26.088190954773868,3.61,7.24,0.3289613369159907,1.004795117698344
fractal_dp2_N0200_Df1.8_kf1.3_rep05,200,fractal_dp2_N0200_Df1.8_kf1.3_rep05,0.64093505859375,1.805453245189982,0.9423019334956941,ok,0.03220142233924153,8.1947155195225,2.1034894976850755,199,0.4360468555901065,0.21447387065660573,0.08463133555541656,0.27,0.215,0.7936623967405788,33.160904522613066,3.47,6.87,0.32753032450989084,-0.07995618838992335
fractal_dp2_N0200_Df2.2_kf1.1_rep01,200,fractal_dp2_N0200_Df2.2_kf1.1_rep01,0.52705810546875,2.039007078442326,0.8617498134816779,ok,0.06188206129929523,5.307939272003859,1.669203675561232,199,0.39880939924779,0.1986564371759852,0.1289261148794202,0.36,0.29,0.9109884741312593,22.878844221105528,4.14,8.94,0.30727865409682575,3.166666666666667
fractal_dp2_N0200_Df2.2_kf1.1_rep02,200,fractal_dp2_N0200_Df2.2_kf1.1_rep02,0.5440234375,2.0564242773189267,0.8805009042552591,ok,0.09569478255780323,5.307920501673747,1.669200139280514,199,0.21740290423638975,0.4639651562120948,0.1435292025485991,0.375,0.29,0.9643132271207318,25.38643216080402,3.95,8.38,0.3258346611832769,0.3637254901960789
fractal_dp2_N0200_Df2.2_kf1.1_rep03,200,fractal_dp2_N0200_Df2.2_kf1.1_rep03,0.53841552734375,2.053362274662583,0.8896771517874573,ok,0.050690771251067225,5.30793183745541,1.669202274913396,199,0.1812921788719305,0.4281187041063255,0.21807073714588254,0.355,0.275,0.9219002115196633,18.71793969849246,4.2,8.75,0.36334051044524646,1.6946640316205528
