a,b,n,matching_distance,delta_exposure,abs_delta_exposure,both_box_quality_ok,delta_box_dimension,delta_hull_porosity,delta_log_rg,delta_asphericity,delta_lambda2_over_lambda1,delta_lambda3_over_lambda1,delta_leaf_fraction,delta_branch_fraction,delta_degree_std,delta_mean_graph_distance,delta_neighbors_1p5d,delta_neighbors_2d,delta_local_density_cv,delta_core_shell_density_difference
fractal_dp1_N0050_Df1.8_kf1.3_rep05,fractal_dp2_N0050_Df1.8_kf1.3_rep02,50,1.009399395695842,-0.0028027343750000044,0.0028027343750000044,False,0.018884408733860658,0.0017164437263355037,-9.566907555047521e-08,0.1419382401529229,-0.11638227801587946,0.010347815319503982,-0.020000000000000018,0.0,-0.06333720866086578,-1.3297959183673473,-0.7200000000000002,0.16000000000000014,0.08623354220081697,0.6098343685300209
fractal_dp1_N0050_Df2.2_kf1.1_rep01,fractal_dp1_N0050_Df2.2_kf1.1_rep02,50,0.276126207528897,0.0070410156250000355,0.0070410156250000355,False,0.010414904531541369,0.0003518030886054957,1.558218875485906e-06,0.08167901368490171,-0.14420643166159824,-0.0099691385043984,0.08000000000000002,0.03999999999999998,0.12548682008101264,1.0661224489795922,-0.31999999999999984,-0.1200000000000001,0.0238180388859639,0.41228070175438525
fractal_dp1_N0050_Df2.2_kf1.1_rep04,fractal_dp2_N0050_Df2.2_kf1.1_rep02,50,0.8507969813275389,0.0001074218749999023,0.0001074218749999023,False,0.01695477239337584,0.001817527262860108,3.119471729595702e-06,0.04978380144402639,-0.07471037507719197,-0.016585844374337466,0.03999999999999998,0.0,0.10811741775854367,-0.37877551020408173,-0.2400000000000002,0.6399999999999997,0.13642479901144716,4.12878787878788
fractal_dp1_N0050_Df2.6_kf0.8_rep01,fractal_dp1_N0050_Df2.6_kf0.8_rep04,50,0.06893767741687658,0.008896484375000013,0.008896484375000013,False,0.004770921433644659,0.0005484853941047918,1.7370110516612414e-07,-0.01924243415537208,-0.08631221918263943,0.10780746868511448,-0.03999999999999998,0.020000000000000018,-0.1390599626570983,-0.46530612244897984,-0.6799999999999997,-1.2799999999999994,0.01972859527607962,-1.3946969696969704
fractal_dp1_N0100_Df1.8_kf1.3_rep01,fractal_dp2_N0100_Df1.8_kf1.3_rep04,100,0.9780375325798619,0.0037646484375000178,0.0037646484375000178,True,0.017587178611705445,-0.0022625505728037787,-2.470638416074422e-07,0.11802761040514309,-0.07654650115527545,-0.019985737264111722,-0.030000000000000027,-0.010000000000000009,-0.0611456562517626,0.9850505050505074,-0.2799999999999998,-0.5200000000000005,-0.012321041027051727,0.9974816849816852
fractal_dp1_N0100_Df1.8_kf1.3_rep05,fractal_dp2_N0100_Df1.8_kf1.3_rep02,100,0.25295218846302825,0.015063476562500067,0.015063476562500067,True,-0.007264479945467306,-0.0017394001571503503,-3.4989660204765016e-06,-0.06331966351017437,0.10655573566498014,-0.04539126482932283,-0.009999999999999953,0.02999999999999997,-0.05857104836476679,0.5949494949494945,-0.06000000000000005,-0.28000000000000025,-0.016879561438892854,0.6097056538233012
fractal_dp1_N0100_Df2.2_kf1.1_rep01,fractal_dp2_N0100_Df2.2_kf1.1_rep05,100,0.29434519324481123,-0.002861328124999951,0.002861328124999951,False,-0.010476530715920918,0.0007062392236474313,-2.7628539629453996e-06,-0.10814515827679105,0.058371983340844036,0.12068507344504936,-0.10999999999999999,-0.09000000000000002,-0.14805742494243357,0.35292929292929287,-0.1200000000000001,-0.54,-0.012703399614238331,-4.267540526849038
fractal_dp1_N0100_Df2.2_kf1.1_rep02,fractal_dp2_N0100_Df2.2_kf1.1_rep01,100,0.06137889335552148,-0.0008837890624999734,0.0008837890624999734,False,0.0027219624419334565,-0.0010350868866583207,1.9567615785476278e-06,0.07384777014206356,-0.11030282553755094,-0.058177764093676476,0.0,0.019999999999999962,-0.02132629719040946,-1.6575757575757581,-0.16000000000000014,0.28000000000000025,0.01688804690069179,1.3304630152456252
fractal_dp1_N0100_Df2.6_kf0.8_rep02,fractal_dp2_N0100_Df2.6_kf0.8_rep03,100,0.3296339373741984,0.005781250000000071,0.005781250000000071,False,0.0003679452633851277,0.002869213646986224,4.727653076574967e-06,0.003699185004978345,0.12515280961779685,-0.09068114597531968,-0.07,-0.06,-0.06065000014352262,0.5759595959595973,-0.21999999999999975,-1.0200000000000014,-0.055585070890843524,-3.140151515151514
fractal_dp1_N0200_Df1.8_kf1.3_rep01,fractal_dp1_N0200_Df1.8_kf1.3_rep04,200,0.775155395948963,-0.009379882812500018,0.009379882812500018,True,-0.016824035656407332,0.0012993744314938604,8.021079080933191e-07,0.06273695060617235,-0.1183552552031476,0.035921693241442385,0.030000000000000027,0.024999999999999967,0.02916679674272571,-0.8979396984924612,0.10000000000000009,0.29000000000000004,-0.0360775552600735,0.4694552759068884
